,name
101,"Тканевый стенд Expoline, 244*35*228 см, прямой, односторонний + сумка"
103,Пленка 3164M F000 50/1520 Orajet
104,"Конструкция для тканевого стенда Expoline, 300*230 см, полукруглый, двусторонний + сумка"
106,"Флис 280г/кв.м, 1,6*53,76м. Термотрансфер"
107,"Карабин с предохранительной гайкой Зубр, DIN 5299D, 12 мм, 8 шт"
109,"Ткань для стенда Expoline, 244*43*228 см, изогнутый, двусторонний"
111,"Конструкция для тканевого стенда Expoline, 596*49*228 см, прямой, односторонний + сумка"
113,"Флис 300г/кв.м, 1,5*49,5м. Термотрансфер"
114,"Конструкция для тканевого стенда Altec ST-2, 400*80*230 см, волна, двусторонний + сумка"
116,Пленка 5200 F030 50/1220 Oralite
117,"Краскопульт электрический воздушный Зубр Мастер КПЭ-350, компрессорный, 350 Вт, 0,8 л, красный"
119,"Торцевая заглушка для ELF NeonLine, 8 мм, боковой изгиб, глухая (комплект 10 шт)"
121,"ТканьФутер 3-нит. 310гр/м2/ 1,65*56,6 м"
122,"Трос стальной в оплетке ПВХ Зубр, DIN 3055, свивка 6*7+IWS, D = 2 мм, 200 м"
124,"Труба ПВХ д-125х6,0 мм, 5 м/ GREY RAL 7011/PN10"
126,"Баннер Vikuflex литой Frontlit 440 г, 1,6*50 м, полумат 1000D*1000D, 16*16"
127,"Свитшот Премиум, женский, размер S, черный (образец)"
129,"Торцевая заглушка для ELF NeonLine, 11 мм, боковой изгиб, с отверстием (комплект 10 шт)"
131,"Торцевая заглушка для ELF NeonLine, 11 мм, боковой изгиб, глухая (комплект 10 шт)"
133,"Модуль светодиодный ELF NOVA 2, 2SMD диод 2835, IP67, 122 лм, 0,72 Вт, белый"
135,"Клей водостойкий для дерева Akfix 360FC, полиуретановый, 560 мл"
137,106-4651-03 Пружина
139,"Стержень полиацеталь РОМ 60*3000 мм, черный"
141,"Тканевый стенд Expoline, 300*228 см, парус, односторонний + сумка"
143,Система автоматической подмотки для Summa S Class 3 T160 395-746
145,"Конструкция для тканевого стенда Expoline, 92*45*228 см, прямой, двусторонний + сумка"
147,"Монтажный комплект №4 для ELF NeonLine, 25 мм (комплект 10 шт)"
149,"Монтажная клипса для ELF NeonLine, 8 мм, боковой изгиб (комплект 10 шт)"
151,"Неоновая лента светодиодная интерьерная ELF NeonLine, 600 SMD 2835, 5 мм*5 м, 7 Вт, 12 В, IP53, боковой изгиб, розовая"
153,Лист Sustamid 6G natural 2000*1000*100 mm натуральный
155,Плакатный профиль 3000 Klemmfix  ral  черный  3м
157,"Тканевый стенд Expoline, 305*45*228 см, прямой, односторонний + сумка"
159,"Пленка самоклеящаяся мономерная Oracal 641 M 063 1,26*50 м лаймовая, матовая"
160,"Таффета Премиум плюс, 60г/кв.м, 1,6*117м, Термотрансфер А"
161,"Пленка самоклеящаяся Oracal 451 F054 1,26*50 м бирюзовая"
162,Петля малая ND 51025
163,Комплект Dippa Madrid CMYK для самостоятельного перелива
164,Пленка самоклеящаяся Oracal 8500 F 008 1*50 м вересковая транслюцентная
165,"Баннер Vikuflex ламинированный Frontlit 440гр, 50x1.1м мат 500Dx300D, 18x12"
166,"PVDF муфта с наружней резьбой д-50-1 1/2""/735 910 510"
168,Клейкая лента Orabond 1354N 340мм x 100м
170,"Мобильный стенд Roll up Y Cтандарт 85*200см, алюминий, пластик, 2.8кг, серебро (сумка в комплекте)"
172,"Ткань сэндвич 150г/кв.м, 1,65*49,6м. Сублимация"
173,"Ткань Интерлок (Прима Микрофибра), 140г/мкв, 1,6*101,9 м, Термотрансфер Y"
174,"Акрил ACRYMA 72 XT O, 3*2050*3050 мм, опал 30% (оргстекло)"
176,"Ткань Интерлок матовый стрейч 270  г/кв.м,  1,65*29  м  Термотрансфер"
177,"Акрил ACRYMA 72 XT C, 5*2050*3050 мм, прозрачный, clear (оргстекло)"
179,"Неоновая лента светодиодная интерьерная ELF NeonLine PVC, 100 SMD 2835, 8 мм*1 м, 9 Вт, 12 В, IP20, кратность 1 см, боковой изгиб, розовая"
180,"Неоновая лента светодиодная интерьерная ELF NeonLine PVC, 100 SMD 2835, 8 мм*1 м, 9 Вт, 12 В, IP20, кратность 1 см, боковой изгиб, оранжевая"
181,"Неоновая лента светодиодная интерьерная ELF NeonLine PVC, 100 SMD 2835, 8 мм*1 м, 9 Вт, 12 В, IP20, кратность 1 см, боковой изгиб, голубая"
182,PVDF тройник д-90 мм/735 208 613
184,Лист акрил. Vikuglas acryl  XT 3x2050x3050 мм зеленый цв 613
185,Полиэтилентерефталат/натуральный/Sustadur PETnatural/1000х620х20 мм
187,Лист ПК сот. Makrolon multi UV 2/6-6  2100x12000x6мм - 1099 прозр
188,Стержень ERTALYTE/натуральный/32х1000
190,"Баннер GLP ламинированный 280±10G,70х3.2м,  500Dx500D, 9x9, матовый, антиколд"
191,"Ложная сетка 160 г/м2, 1,6*85 м Термотрансфер. Q"
192,Стержень ПВХ/ д-30х2000 мм
194,"Баннер GLP ламинированный 280±10G,25х3.2м,  500Dx500D, 9x9, матовый, антиколд"
195,"Термопленка NOVA-FLEX PREMIUM, 0,50*2,5 м, 1003 - голубой неон"
196,"Фотолюминесцентная пленка Lucentis-200 принт 0,61*20м (марк.) (2 рулона в упаковке)"
197,"3M™ 93020LE Лента клейкая двусторонняя, акриловый адгезив, основа ПЭФ, прозрачная, 0,2мм х 25мм Х 55м"
199,Лист ПК монолит. Borrex опт.2050х3050х4мм бирюза
201,"Промо-рулон Холст Indorian синтетический, 100% полиэстер, 280 г, 0,914*1 м, глянцевый, только УФ и латекс"
203,"Пленка самоклеящаяся Oracal 8530 F090 1,26*50 м серебристо-серая"
204,"Ткань для стенда Altec ST-1, 100*20*230 см, прямой, односторонний"
206,"Конструкция для тканевого стенда Altec ST-4, 350*38*230 см, полукруглый, двусторонний + сумка"
208,"Праймер для УФ печати Artis ink, для акрила, 1 л"
210,"Ткань для стенда Expoline, 300*230 см, полукруглый, односторонний"
212,"Неоновая лента светодиодная интерьерная ELF NeonLine PVC, 100 SMD 2835, 8 мм*1 м, 300 лм, 9 Вт, 12 В, IP20, кратность 1 см, боковой изгиб, белая"
213,Лист ПВХ Vikupor Light 5*2050*3050 мм белый (3 шт/уп)
215,"Стержень SUSTAMID 6G/черный/д-35 мм, 3 м"
217,"Тканевый стенд Expoline, 300*228 см, парус, двусторонний + сумка"
219,"TRIDONIC LED 0010 K001, 12V, 10W"
221,Чернила для 1640 черные UVGEL 356A 2X1L
223,"Ткань Ложная сетка 135 г/м.кв, 100% п/э, черная, 103*1,6 м, Сублимация Y"
224,"Тентовая ткань ПВХ Nordfox, 650 г/м2, коричневый, RAL8017, 2,5*35 м, 1000*1000, 20*20, полуглянец"
225,"Термопленка NOVA-FLEX PRINTABLE 3 SEC, 0,5*10 м, 7591 - белый (экосольвент, латекс)"
226,"Ткань Ника 135гр/м2/1,6м*116 м Термотрансфер, А"
227,"Армированный ПВХ пневмошланг 3-хслойный с диагональным плетением ToppAir 10/16мм, 50м"
228,"ELINCA 82057, соединение тройное"
230,Краска полиграфическая Cикура  Пласт 770 Фаст Варм Красная
231,"Ткань Неопрен белый 100% ПЭ, 300 гр/м2, 16м*1,5 м, Термотрансфер Y"
232,Чернила Afford NO BLO V2/989/741 Ecosol black пакет 1л
234,Лист акрил. EVOGLAS XT 10x2050x3050 мм GE прозрачный 92%
236,"Образец алюминиевой композитной панели Bildex 3*1500*4000 мм, (al 0,2 мм) цвет желтый BL 1023 RAL 1023"
238,Лист акрил. EVOGLAS XT 2*2050*3050 мм GE прозрачный 92%
240,"Декоративная пленка Solartek STM 35 SPS 2MIL, 1,52*30,5 м, 59 мкм, VLT 10,5%, PET, матовая, серая"
242,"Конструкция для тканевого стенда Altec ST-3, 250*50*230 см, изогнутый, двусторонний + сумка"
244,Низковольтный блок питания для SummaCut 1NC40-67011
246,"Ткань для стенда Altec ST-4, 350*38*230 см, полукруглый, двусторонний"
248,"Сублимационные чернила Artis ink, yellow, 1 л"
250,"Термотрансферная пленка Plotterfilms Flex Classic S230 0,5*25 м королевская синяя"
251,"Отражающая архитектурная пленка Solartek STR 15 BLSRPS 2MIL, 1,52*30 м, 60 мкм, VLT 16,1%, PET, голубая"
253,"Термопленка NOVA-FLEX PREMIUM, 0,50*25 м, 1044 - красно-розовый неон"
254,"Ткань Таффета 70 г/кв.м, 1,6*402 м Термотрансфер."
255,"Тентовая ткань ПВХ Nordfox, 650 г/м2, коричневый, RAL8017, 2,5*55 м, 1000*1000, 20*20, полуглянец"
256,"Искусственная трава GRASS MIX, 950 г/м2, ворс 20 мм, 4*25 м"
257,"Ткань Ложная сетка 140г/кв.м, 1,65*41 м Термотрансфер"
258,Лист акрил. EVOGLAS XT 4*2050*3050 мм GE прозрачный 92%
260,"Ткань для стенда Altec ST-1, 500*20*230 см, прямой, односторонний"
262,"Ткань Таффета 70 г/кв.м, 1,6*399 м Термотрансфер."
263,"Термопленка NOVA-FLEX PREMIUM, 0,50*25 м, 1018 - умеренный желтый"
264,"Термотрансферная пленка Plotterfilms Flex Classic S287 0,5*25 м сиреневая (лаванда)"
265,"Термотрансферная пленка Plotterfilms Flex Classic S360 0,5*25 м огненная красная"
266,"Термотрансферная пленка Plotterfilms Flex Classic S540 0,5*25 м зеленая классическая"
267,Лист акрил. EVOGLAS XT 6*2050*3050 мм GE прозрачный 92%
269,Пленка SAV 100 mc V-Jet 010 белая 50/1370 глянцевая
270,"Пленка самоклеящаяся мономерная Oracal 620 M 010 1*50 м белая, матовая"
271,"Баннер Vikuflex литой транслюцентный Backlit 560гр, 50x3.2 мат 500Dx500D, 28x28"
272,"Конструкция для тканевого стенда Altec ST-1, 100*20*230 см, прямой, двусторонний + сумка"
274,Образец профиля Vikuprof ND1 черный мат. 10 см
276,"Конструкция для тканевого стенда Altec ST-2, 250*50*230 см, волна, двусторонний + сумка"
278,"Тентовая ткань ПВХ Nordfox, 650 г/м2, оранжевый, RAL2004, 2,5*65 м, 1000*1000, 20*20, полуглянец"
279,"Отражающая архитектурная пленка Solartek STR 15 SSRPS 2MIL, 1,52*30,5 м, 60 мкм, VLT 8,6%, PET, серая"
281,"Отражающая архитектурная пленка Solartek STR 15 GOSRPS 2MIL, 1,52*30,5 м, 60 мкм, VLT 19,3%,  PET, золотая"
283,"Отражающая архитектурная пленка Solartek STR 15 GNSRPS 2MIL, 1,52*30,5 м, 60 мкм, VLT 14%, PET, зеленая"
285,"Термотрансферная пленка Plotterfilms Flex Classic S450 0,5*25 м лимонная желтая"
286,"Прокладка SteriPad круглая 900*3 мм, 549 отв., 20 мм"
288,"Ткань Таффета new, 60г/м2 1,6*190 м, Термотрансфер А"
289,"Модуль светодиодный ELF Chip on board 3LED, 120гр, 12В, 0.8Вт, белый 007"
291,"Баннер короткий Vikuflex литой Frontlit 400гр, 40х1.1 мат 1000Dx1000D, 16x16"
292,"Отражающая архитектурная пленка Solartek STR 30 GNSRPS 2MIL, 1,52*30,5 м, 56 мкм, VLT 39,5%, PET, зеленая"
294,"Баннер короткий Vikuflex литой Frontlit 510гр, 40х2.5 мат 1000Dx1000D, 18x18"
295,Лист ПК монолит. Monogal 3х1500х6000 мм белый 30%
297,"Тампон (SWAB, TEXWIPE-TX761- P)"
299,"образец Клейкая лента двусторонняя LP-911  0,8 мм х 15 мм х 33 м (н4054)"
301,"образец Клейкая лента двусторонняя LP-911  0,8 мм х 20 мм х 33 м (н4542)"
303,"Тканевый стенд Altec ST-4, 350*38*230 см, полукруглый, односторонний + сумка"
305,"Алюминиевая композитная панель Grossbond 4000x1220x3 мм, (al. 0,3 mm), Г4, цвет 9985 Зеркало Premium полир."
307,"Армированная упаковочная односторонняя лента 956 SM Chemie™, 19 мм*50 м, каучуковый адгезив, продольное армирование"
308,"Алюминиевая композитная панель Grossbond 4000x1220x3 мм, (al. 0,3 mm), Г4, цвет GME 9985 Зеркало тиснен."
310,"Ракель простой формы жёлтого цвета VINK, жёсткость 30"
312,Roll-up стенд Coleido Comfort 100*200 см new
314,600-6163 - Подшипник + фиксатор для конвнейера (4шт каждый)
315,Самоклеящаяся пленка TEC MARK 3000 G (031 - 3022 1.22х1.00 м  средне-красный)
317,Пленка самоклеящаяся матовая Colorit 3000 M (125 - 031 1.00x1.00 м красный)
